ID                                       0xbe7c
Delivery_person_ID             RANCHIRES07DEL03
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.359407
Restaurant_longitude                  85.325055
Delivery_location_latitude            23.389407
Delivery_location_longitude           85.355055
Order_Date                           21-03-2022
Time_Orderd                               20:35
Time_Order_picked                         20:50
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 39568, dtype: object
