ID                                        0x5bc
Delivery_person_ID              COIMBRES07DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   10.961850
Restaurant_longitude                  76.971082
Delivery_location_latitude            11.091850
Delivery_location_longitude           77.101082
Order_Date                           06-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 4855, dtype: object
