ID                                      0x17ec
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  20.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.053669
Delivery_location_longitude          77.026494
Order_Date                          28-03-2022
Time_Orderd                              19:30
Time_Order_picked                        19:35
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     33.000000
Name: 13218, dtype: object
