ID                                       0xb3bf
Delivery_person_ID               INDORES20DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   22.732225
Restaurant_longitude                  75.874765
Delivery_location_latitude            22.802225
Delivery_location_longitude           75.944765
Order_Date                           04-04-2022
Time_Orderd                               20:35
Time_Order_picked                         20:50
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 924, dtype: object
