ID                                    0x7fda
Delivery_person_ID             MYSRES03DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                12.299524
Restaurant_longitude               76.642620
Delivery_location_latitude         12.339524
Delivery_location_longitude        76.682620
Order_Date                        11-03-2022
Time_Orderd                            12:10
Time_Order_picked                      12:25
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 38994, dtype: object
