ID                                      0xd5e
Delivery_person_ID             INDORES04DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.833659
Delivery_location_longitude         75.983365
Order_Date                         10-03-2022
Time_Orderd                               NaN
Time_Order_picked                       21:35
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    45.000000
Name: 20493, dtype: object
