ID                                       0xc9aa
Delivery_person_ID                KNPRES20DEL01
Delivery_person_Age                       29.00
Delivery_person_Ratings                    2.60
Restaurant_latitude                       26.47
Restaurant_longitude                      80.35
Delivery_location_latitude                26.58
Delivery_location_longitude               80.46
Order_Date                           14-02-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          31.00
Name: 39957, dtype: object
