ID                                     0xd76d
Delivery_person_ID             ALHRES010DEL02
Delivery_person_Age                     38.00
Delivery_person_Ratings                  4.70
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.13
Delivery_location_longitude              0.13
Order_Date                         12-02-2022
Time_Orderd                             20:15
Time_Order_picked                       20:20
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        16.00
Name: 33909, dtype: object
