ID                                     0xc0a6
Delivery_person_ID             KOLRES010DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                -22.538999
Restaurant_longitude                88.322337
Delivery_location_latitude          22.618999
Delivery_location_longitude         88.402337
Order_Date                         12-02-2022
Time_Orderd                             23:10
Time_Order_picked                       23:25
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 32711, dtype: object
