ID                                       0x61ae
Delivery_person_ID             RANCHIRES08DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.353783
Restaurant_longitude                  85.326967
Delivery_location_latitude            23.373783
Delivery_location_longitude           85.346967
Order_Date                           01-03-2022
Time_Orderd                                8:50
Time_Order_picked                          9:05
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      10.000000
Name: 2937, dtype: object
