ID                                       0xcd9a
Delivery_person_ID                KOCRES14DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   10.027014
Restaurant_longitude                  76.308053
Delivery_location_latitude            10.037014
Delivery_location_longitude           76.318053
Order_Date                           11-02-2022
Time_Orderd                               10:50
Time_Order_picked                         11:05
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 14027, dtype: object
