ID                                    0xc04b
Delivery_person_ID             KOLRES16DEL03
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -22.539129
Restaurant_longitude               88.365507
Delivery_location_latitude         22.629129
Delivery_location_longitude        88.455507
Order_Date                        18-02-2022
Time_Orderd                            23:40
Time_Order_picked                      23:55
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 29504, dtype: object
