ID                                    0xc0b1
Delivery_person_ID             GOARES19DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 4.20
Restaurant_latitude                    -0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.04
Delivery_location_longitude             0.04
Order_Date                        15-02-2022
Time_Orderd                            13:50
Time_Order_picked                      14:05
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     2.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       40.00
Name: 3208, dtype: object
