ID                                    0x33ac
Delivery_person_ID             MUMRES19DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.221141
Delivery_location_longitude        72.903074
Order_Date                        12-03-2022
Time_Orderd                            22:10
Time_Order_picked                      22:15
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 18032, dtype: object
