ID                                       0x4d4d
Delivery_person_ID               JAPRES010DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.921411
Restaurant_longitude                  75.793604
Delivery_location_latitude            26.981411
Delivery_location_longitude           75.853604
Order_Date                           30-03-2022
Time_Orderd                               23:55
Time_Order_picked                         24:10
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 16292, dtype: object
