ID                                      0x950e
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.071850
Delivery_location_longitude          77.081082
Order_Date                          02-03-2022
Time_Orderd                              23:15
Time_Order_picked                        23:25
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 40198, dtype: object
