ID                                       0xcd8a
Delivery_person_ID               KOLRES010DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.538999
Restaurant_longitude                  88.322337
Delivery_location_latitude            22.588999
Delivery_location_longitude           88.372337
Order_Date                           17-02-2022
Time_Orderd                               22:10
Time_Order_picked                         22:25
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 41638, dtype: object
