ID                                     0xc99f
Delivery_person_ID             AURGRES15DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.878028
Restaurant_longitude                75.317475
Delivery_location_latitude          19.938028
Delivery_location_longitude         75.377475
Order_Date                         15-02-2022
Time_Orderd                             19:10
Time_Order_picked                       19:15
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 27146, dtype: object
