ID                                       0xc663
Delivery_person_ID                GOARES15DEL03
Delivery_person_Age                    35.00000
Delivery_person_Ratings                 4.80000
Restaurant_latitude                    15.51315
Restaurant_longitude                   73.78346
Delivery_location_latitude             15.54315
Delivery_location_longitude            73.81346
Order_Date                           13-02-2022
Time_Orderd                               23:50
Time_Order_picked                         23:55
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                     0.00000
Festival                                     No
City                                      Urban
Time_taken (min)                       18.00000
Name: 4344, dtype: object
