ID                                      0x5cfc
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.133669
Delivery_location_longitude          77.106494
Order_Date                          25-03-2022
Time_Orderd                              19:40
Time_Order_picked                        19:45
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     45.000000
Name: 42557, dtype: object
