ID                                        0xe7d
Delivery_person_ID                MUMRES19DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   19.131141
Restaurant_longitude                  72.813074
Delivery_location_latitude            19.171140
Delivery_location_longitude           72.853074
Order_Date                           01-03-2022
Time_Orderd                               15:60
Time_Order_picked                         16:15
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 8812, dtype: object
