ID                                        0x46b
Delivery_person_ID               CHENRES15DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   13.026286
Restaurant_longitude                  80.275235
Delivery_location_latitude            13.096286
Delivery_location_longitude           80.345235
Order_Date                           06-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 26116, dtype: object
