ID                                       0x13ed
Delivery_person_ID             RANCHIRES01DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.416792
Restaurant_longitude                  85.316842
Delivery_location_latitude            23.486792
Delivery_location_longitude           85.386842
Order_Date                           10-03-2022
Time_Orderd                               20:60
Time_Order_picked                         21:05
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                         NaN
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      53.000000
Name: 15920, dtype: object
