ID                                       0xb91c
Delivery_person_ID                HYDRES08DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   17.438263
Restaurant_longitude                  78.397865
Delivery_location_latitude            17.518263
Delivery_location_longitude           78.477865
Order_Date                           25-03-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 13171, dtype: object
