ID                                     0xbd36
Delivery_person_ID             INDORES15DEL01
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.770072
Delivery_location_longitude         75.902574
Order_Date                         01-04-2022
Time_Orderd                             10:45
Time_Order_picked                       10:60
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    11.000000
Name: 20646, dtype: object
