ID                                        0xfb3
Delivery_person_ID               PUNERES08DEL02
Delivery_person_Age                    39.00000
Delivery_person_Ratings                 4.90000
Restaurant_latitude                    18.53408
Restaurant_longitude                   73.89852
Delivery_location_latitude             18.55408
Delivery_location_longitude            73.91852
Order_Date                           05-03-2022
Time_Orderd                                8:45
Time_Order_picked                          8:50
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                     1.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       24.00000
Name: 23824, dtype: object
