ID                                     0x8c7b
Delivery_person_ID             PUNERES04DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 18.514210
Restaurant_longitude                73.838429
Delivery_location_latitude          18.554210
Delivery_location_longitude         73.878429
Order_Date                         15-03-2022
Time_Orderd                             16:45
Time_Order_picked                       16:50
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    14.000000
Name: 10861, dtype: object
