ID                                      0x86b9
Delivery_person_ID             INDORES010DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.830040
Delivery_location_longitude          75.982847
Order_Date                          06-03-2022
Time_Orderd                              18:50
Time_Order_picked                        18:60
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 39581, dtype: object
