ID                                       0xb9e9
Delivery_person_ID             RANCHIRES12DEL03
Delivery_person_Age                       39.00
Delivery_person_Ratings                    4.40
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           09-03-2022
Time_Orderd                               19:20
Time_Order_picked                         19:30
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                          42.00
Name: 13473, dtype: object
