ID                                     0xcc1
Delivery_person_ID             HYDRES04DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                17.411028
Restaurant_longitude               78.329645
Delivery_location_latitude         17.421028
Delivery_location_longitude        78.339645
Order_Date                        28-03-2022
Time_Orderd                            11:10
Time_Order_picked                      11:15
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 136, dtype: object
