ID                                     0x6ee4
Delivery_person_ID             INDORES16DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 22.744648
Restaurant_longitude                75.894377
Delivery_location_latitude          22.794648
Delivery_location_longitude         75.944377
Order_Date                         01-04-2022
Time_Orderd                             20:20
Time_Order_picked                       20:25
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 37929, dtype: object
