ID                                     0x3b6e
Delivery_person_ID             BANGRES02DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              3.500000
Restaurant_latitude                 12.970221
Restaurant_longitude                77.645396
Delivery_location_latitude          13.040221
Delivery_location_longitude         77.715396
Order_Date                         16-03-2022
Time_Orderd                             20:30
Time_Order_picked                       20:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 9563, dtype: object
