ID                                    0xd74f
Delivery_person_ID             KNPRES16DEL02
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.482581
Restaurant_longitude               80.315628
Delivery_location_latitude         26.562581
Delivery_location_longitude        80.395628
Order_Date                        14-02-2022
Time_Orderd                            22:35
Time_Order_picked                      22:40
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                 NaN
City                                   Urban
Time_taken (min)                   10.000000
Name: 27558, dtype: object
