ID                                     0xbcbe
Delivery_person_ID             INDORES16DEL02
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 22.744648
Restaurant_longitude                75.894377
Delivery_location_latitude          22.874648
Delivery_location_longitude         76.024377
Order_Date                         12-03-2022
Time_Orderd                             19:20
Time_Order_picked                       19:30
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 13879, dtype: object
