ID                                    0xabf1
Delivery_person_ID             MUMRES11DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                18.994237
Restaurant_longitude               72.825553
Delivery_location_latitude         19.064237
Delivery_location_longitude        72.895553
Order_Date                        06-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 30478, dtype: object
