ID                                       0xb89a
Delivery_person_ID                JAPRES12DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   26.902908
Restaurant_longitude                  75.792934
Delivery_location_latitude            27.012908
Delivery_location_longitude           75.902934
Order_Date                           10-03-2022
Time_Orderd                               23:10
Time_Order_picked                         23:15
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      20.000000
Name: 7260, dtype: object
