ID                                      0xb0e5
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.081753
Delivery_location_longitude          77.066241
Order_Date                          12-03-2022
Time_Orderd                              20:30
Time_Order_picked                        20:45
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 9929, dtype: object
