ID                                    0xac82
Delivery_person_ID             HYDRES09DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                17.431668
Restaurant_longitude               78.408321
Delivery_location_latitude         17.561668
Delivery_location_longitude        78.538321
Order_Date                        29-03-2022
Time_Orderd                            17:25
Time_Order_picked                      17:30
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 36546, dtype: object
