ID                                      0x452f
Delivery_person_ID             COIMBRES08DEL02
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.001852
Restaurant_longitude                 76.976268
Delivery_location_latitude           11.131852
Delivery_location_longitude          77.106268
Order_Date                          06-03-2022
Time_Orderd                              23:35
Time_Order_picked                        23:50
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     20.000000
Name: 5339, dtype: object
