ID                                    0xc7f8
Delivery_person_ID             AGRRES12DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.165108
Restaurant_longitude               78.015053
Delivery_location_latitude         27.235108
Delivery_location_longitude        78.085053
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      23:50
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                                   Urban
Time_taken (min)                   13.000000
Name: 43565, dtype: object
