ID                                        0x88ac
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    23.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.484422
Delivery_location_longitude            85.462900
Order_Date                            06-03-2022
Time_Orderd                                22:60
Time_Order_picked                          23:05
Weather conditions                    Sandstorms
Road_traffic_density                         Low
Vehicle_condition                              1
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       19.000000
Name: 35640, dtype: object
