ID                                    0x7ab4
Delivery_person_ID             SURRES11DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                21.157735
Restaurant_longitude               72.768778
Delivery_location_latitude         21.187735
Delivery_location_longitude        72.798778
Order_Date                        26-03-2022
Time_Orderd                            20:60
Time_Order_picked                      21:15
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   34.000000
Name: 28888, dtype: object
