ID                                       0xca46
Delivery_person_ID                KOLRES02DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                3.400000
Restaurant_latitude                   22.514585
Restaurant_longitude                  88.393310
Delivery_location_latitude            22.594585
Delivery_location_longitude           88.473310
Order_Date                           16-02-2022
Time_Orderd                               22:30
Time_Order_picked                         22:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 8230, dtype: object
