ID                                     0x7ac4
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  36.00000
Delivery_person_Ratings               4.90000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.66408
Delivery_location_longitude          74.02852
Order_Date                         27-03-2022
Time_Orderd                             17:20
Time_Order_picked                       17:30
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                   2.00000
Festival                                   No
City                            Metropolitian
Time_taken (min)                     43.00000
Name: 33199, dtype: object
