ID                                       0xbca9
Delivery_person_ID                SURRES12DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                3.500000
Restaurant_latitude                   21.183434
Restaurant_longitude                  72.814492
Delivery_location_latitude            21.313434
Delivery_location_longitude           72.944492
Order_Date                           20-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:30
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 26806, dtype: object
