ID                                       0x82af
Delivery_person_ID                JAPRES17DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   26.892312
Restaurant_longitude                  75.806896
Delivery_location_latitude            26.902313
Delivery_location_longitude           75.816896
Order_Date                           30-03-2022
Time_Orderd                                8:40
Time_Order_picked                          8:45
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      10.000000
Name: 16530, dtype: object
