ID                                     0x161c
Delivery_person_ID             CHENRES06DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              3.700000
Restaurant_latitude                 13.054347
Restaurant_longitude                80.257221
Delivery_location_latitude          13.164347
Delivery_location_longitude         80.367221
Order_Date                         06-04-2022
Time_Orderd                             22:20
Time_Order_picked                       22:30
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 4391, dtype: object
