ID                                     0xcf33
Delivery_person_ID             AURGRES02DEL03
Delivery_person_Age                     26.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.06
Delivery_location_longitude              0.06
Order_Date                         15-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:40
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        10.00
Name: 38679, dtype: object
