ID                                        0x8d4
Delivery_person_ID               CHENRES02DEL02
Delivery_person_Age                   15.000000
Delivery_person_Ratings                1.000000
Restaurant_latitude                   13.086438
Restaurant_longitude                  80.220672
Delivery_location_latitude            13.216439
Delivery_location_longitude           80.350672
Order_Date                           18-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         17:60
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 9358, dtype: object
