ID                                     0xc539
Delivery_person_ID             AURGRES14DEL02
Delivery_person_Age                 38.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 19.875016
Restaurant_longitude                75.322405
Delivery_location_latitude          20.005016
Delivery_location_longitude         75.452405
Order_Date                         14-02-2022
Time_Orderd                             18:45
Time_Order_picked                       18:55
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    39.000000
Name: 28966, dtype: object
