ID                                    0xd57c
Delivery_person_ID             KNPRES14DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.463504
Restaurant_longitude               80.372929
Delivery_location_latitude         26.593504
Delivery_location_longitude        80.502929
Order_Date                        18-02-2022
Time_Orderd                            17:15
Time_Order_picked                      17:30
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 3467, dtype: object
