ID                                    0x9ef3
Delivery_person_ID             SURRES09DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                21.175975
Restaurant_longitude               72.795503
Delivery_location_latitude         21.305975
Delivery_location_longitude        72.925503
Order_Date                        08-03-2022
Time_Orderd                            18:15
Time_Order_picked                      18:30
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 37410, dtype: object
