ID                                      0xceca
Delivery_person_ID             LUDHRES010DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.972860
Delivery_location_longitude          75.902199
Order_Date                          16-02-2022
Time_Orderd                              19:30
Time_Order_picked                        19:40
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     24.000000
Name: 44913, dtype: object
