ID                                      0xdb54
Delivery_person_ID             AURGRES010DEL01
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.915337
Delivery_location_longitude          75.356722
Order_Date                          11-02-2022
Time_Orderd                              15:60
Time_Order_picked                        16:10
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     18.000000
Name: 5675, dtype: object
