ID                                       0xdac5
Delivery_person_ID                AGRRES09DEL02
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           11-02-2022
Time_Orderd                               22:30
Time_Order_picked                         22:40
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          26.00
Name: 36018, dtype: object
