ID                                       0xdc5d
Delivery_person_ID                AGRRES03DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   27.160832
Restaurant_longitude                  78.011608
Delivery_location_latitude            27.270832
Delivery_location_longitude           78.121608
Order_Date                           16-02-2022
Time_Orderd                               20:10
Time_Order_picked                         20:15
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 43654, dtype: object
