ID                                    0xc79c
Delivery_person_ID             BHPRES02DEL01
Delivery_person_Age                    24.00
Delivery_person_Ratings                 3.20
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.07
Delivery_location_longitude             0.07
Order_Date                        12-02-2022
Time_Orderd                            22:10
Time_Order_picked                      22:25
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       38.00
Name: 41936, dtype: object
