ID                                    0x92db
Delivery_person_ID             JAPRES03DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                26.913483
Restaurant_longitude               75.803139
Delivery_location_latitude         26.933483
Delivery_location_longitude        75.823139
Order_Date                        13-03-2022
Time_Orderd                             9:10
Time_Order_picked                       9:20
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   20.000000
Name: 15026, dtype: object
