ID                                    0xcc5c
Delivery_person_ID             AGRRES05DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                27.201725
Restaurant_longitude               78.007553
Delivery_location_latitude         27.311725
Delivery_location_longitude        78.117553
Order_Date                        18-02-2022
Time_Orderd                            20:10
Time_Order_picked                      20:20
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 34660, dtype: object
