ID                                     0xdfe6
Delivery_person_ID             AURGRES18DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.888716
Restaurant_longitude                75.321461
Delivery_location_latitude          19.908716
Delivery_location_longitude         75.341461
Order_Date                         17-02-2022
Time_Orderd                             11:55
Time_Order_picked                       11:60
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 19701, dtype: object
