ID                                     0xc5ad
Delivery_person_ID             AURGRES01DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 19.876219
Restaurant_longitude                75.346017
Delivery_location_latitude          19.986219
Delivery_location_longitude         75.456017
Order_Date                         12-02-2022
Time_Orderd                             23:55
Time_Order_picked                       23:60
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 12482, dtype: object
