ID                                     0xc38a
Delivery_person_ID             AURGRES14DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 19.875016
Restaurant_longitude                75.322405
Delivery_location_latitude          19.915016
Delivery_location_longitude         75.362405
Order_Date                         17-02-2022
Time_Orderd                               NaN
Time_Order_picked                       15:55
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    20.000000
Name: 15899, dtype: object
