ID                                    0x386d
Delivery_person_ID             HYDRES03DEL02
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                17.422819
Restaurant_longitude               78.449578
Delivery_location_latitude         17.442819
Delivery_location_longitude        78.469578
Order_Date                        19-03-2022
Time_Orderd                            11:25
Time_Order_picked                      11:40
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   27.000000
Name: 14501, dtype: object
