ID                                    0xdbb1
Delivery_person_ID             KOCRES02DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                10.028047
Restaurant_longitude               76.310019
Delivery_location_latitude         10.038047
Delivery_location_longitude        76.320019
Order_Date                        11-02-2022
Time_Orderd                            10:55
Time_Order_picked                      11:05
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   18.000000
Name: 30836, dtype: object
